epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.819,1.0996,1.29572,1.45159,0.6676,0.53365,0.61457,0.28211,2.0459,2.21241,2.51235,0.000333115,0.000333115,0.0670216
2,556.723,1.01842,0.74497,1.37603,0.95676,0.93623,0.97623,0.67251,1.10348,0.55771,1.51993,0.000659851,0.000659851,0.034015
3,824.11,0.96394,0.63627,1.33579,0.96417,0.9515,0.9821,0.68451,1.06903,0.5046,1.47827,0.000979986,0.000979986,0.0010018
4,1096.72,0.93436,0.5777,1.3148,0.97265,0.95665,0.98633,0.7047,1.04758,0.45932,1.44446,0.0009703,0.0009703,0.0009703
5,1395.95,0.89698,0.53209,1.28966,0.97968,0.9801,0.99058,0.73027,0.99447,0.40643,1.38684,0.0009604,0.0009604,0.0009604
6,1715.61,0.87603,0.50229,1.27493,0.97187,0.98127,0.99082,0.73334,0.99089,0.3966,1.38376,0.0009505,0.0009505,0.0009505
7,2064.36,0.8626,0.48362,1.26476,0.9814,0.9833,0.99156,0.74385,0.96807,0.37604,1.36608,0.0009406,0.0009406,0.0009406
8,2411.2,0.84808,0.46838,1.25585,0.98113,0.98788,0.99229,0.75565,0.94893,0.35845,1.34295,0.0009307,0.0009307,0.0009307
9,2755.42,0.83737,0.45819,1.24766,0.97608,0.98719,0.99216,0.75365,0.94925,0.36057,1.33644,0.0009208,0.0009208,0.0009208
10,3094.93,0.83069,0.44738,1.24238,0.98461,0.98474,0.99238,0.7606,0.93715,0.34921,1.32937,0.0009109,0.0009109,0.0009109
