epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.909,1.09217,1.28518,1.44546,0.55429,0.24663,0.28794,0.11355,2.14809,3.50096,2.9575,0.0670216,0.000333115,0.000333115
2,761.361,1.01424,0.73701,1.37271,0.95171,0.94522,0.97501,0.65403,1.1395,0.56438,1.54925,0.034015,0.000659851,0.000659851
3,1065.72,0.96139,0.63144,1.33411,0.96643,0.94745,0.9855,0.68759,1.07911,0.48872,1.47549,0.0010018,0.000979986,0.000979986
4,1334.68,0.93083,0.57683,1.31306,0.96974,0.9643,0.98788,0.71102,1.0277,0.44817,1.43279,0.0009703,0.0009703,0.0009703
5,1604.45,0.89363,0.52772,1.28713,0.96827,0.97595,0.98809,0.7263,1.00696,0.42279,1.40365,0.0009604,0.0009604,0.0009604
6,1875.13,0.87716,0.50126,1.27465,0.97693,0.97891,0.99064,0.73722,0.98707,0.39026,1.37053,0.0009505,0.0009505,0.0009505
7,2143.73,0.86129,0.48285,1.26339,0.9741,0.98708,0.99169,0.74546,0.95419,0.37605,1.35321,0.0009406,0.0009406,0.0009406
8,2440.2,0.84705,0.46892,1.25492,0.97866,0.98214,0.99239,0.74936,0.95508,0.36905,1.34683,0.0009307,0.0009307,0.0009307
9,2709.81,0.83507,0.45597,1.24531,0.97716,0.98512,0.99239,0.75879,0.93765,0.35866,1.3282,0.0009208,0.0009208,0.0009208
10,2979,0.82763,0.44582,1.2399,0.98114,0.98795,0.99266,0.76089,0.9378,0.34997,1.32564,0.0009109,0.0009109,0.0009109
11,3248.34,0.82151,0.43838,1.23684,0.98219,0.98851,0.99236,0.76281,0.93152,0.34619,1.31551,0.000901,0.000901,0.000901
12,3517.54,0.81399,0.42904,1.23129,0.97858,0.98987,0.99307,0.76558,0.92411,0.34016,1.30863,0.0008911,0.0008911,0.0008911
13,3786.67,0.80579,0.42222,1.22634,0.97917,0.99096,0.9926,0.7672,0.91896,0.33843,1.30511,0.0008812,0.0008812,0.0008812
14,4055.84,0.80291,0.41823,1.22479,0.97916,0.99138,0.99291,0.77046,0.91181,0.33337,1.29999,0.0008713,0.0008713,0.0008713
15,4325.62,0.7955,0.41286,1.21982,0.98167,0.98956,0.99302,0.77108,0.91412,0.33269,1.2992,0.0008614,0.0008614,0.0008614
16,4594.47,0.79341,0.40853,1.21829,0.98036,0.98978,0.99293,0.77224,0.91068,0.33562,1.29477,0.0008515,0.0008515,0.0008515
17,4863.81,0.78654,0.40403,1.21428,0.9823,0.99087,0.99326,0.77472,0.90705,0.33087,1.29024,0.0008416,0.0008416,0.0008416
18,5132.89,0.78878,0.4006,1.2129,0.98305,0.99087,0.99314,0.77534,0.90883,0.32869,1.2899,0.0008317,0.0008317,0.0008317
19,5402.33,0.77756,0.39497,1.20806,0.983,0.98989,0.99321,0.77548,0.90924,0.32771,1.28921,0.0008218,0.0008218,0.0008218
20,5672.23,0.77548,0.39314,1.20743,0.98185,0.99069,0.99308,0.77529,0.90743,0.32585,1.28812,0.0008119,0.0008119,0.0008119
21,5941.58,0.77554,0.39224,1.20552,0.98214,0.99142,0.99325,0.77676,0.90524,0.32498,1.28642,0.000802,0.000802,0.000802
22,6210.55,0.77095,0.38901,1.20367,0.98215,0.99176,0.99312,0.77773,0.90413,0.32346,1.28518,0.0007921,0.0007921,0.0007921
23,6477.2,0.76711,0.38412,1.20097,0.98197,0.99168,0.99289,0.77859,0.90293,0.32286,1.28417,0.0007822,0.0007822,0.0007822
24,6743.68,0.76487,0.38268,1.2018,0.98249,0.99208,0.99323,0.77829,0.90247,0.32263,1.28377,0.0007723,0.0007723,0.0007723
25,7010.07,0.76357,0.38145,1.20028,0.98268,0.99267,0.99323,0.7787,0.90252,0.32099,1.28339,0.0007624,0.0007624,0.0007624
26,7276.5,0.75667,0.37652,1.19608,0.98282,0.99241,0.99321,0.78008,0.90172,0.32023,1.28207,0.0007525,0.0007525,0.0007525
27,7542.54,0.75719,0.37629,1.1933,0.9824,0.99273,0.99323,0.78051,0.90167,0.31978,1.28181,0.0007426,0.0007426,0.0007426
28,7811.8,0.75606,0.3746,1.19458,0.98204,0.99271,0.99322,0.78013,0.90145,0.3194,1.28116,0.0007327,0.0007327,0.0007327
29,8080.4,0.75009,0.36998,1.19158,0.98228,0.99269,0.99324,0.78111,0.8999,0.31926,1.28026,0.0007228,0.0007228,0.0007228
30,8349.59,0.75095,0.37087,1.19153,0.9828,0.99223,0.99309,0.7816,0.8991,0.31892,1.27951,0.0007129,0.0007129,0.0007129
31,8618.47,0.7489,0.37028,1.18869,0.98277,0.99232,0.99307,0.78308,0.89825,0.31846,1.27883,0.000703,0.000703,0.000703
32,8887.43,0.74347,0.36476,1.18735,0.98344,0.99216,0.99314,0.78288,0.89711,0.31815,1.27817,0.0006931,0.0006931,0.0006931
33,9156.3,0.74421,0.3657,1.18541,0.98362,0.99196,0.99312,0.78377,0.89608,0.31777,1.27719,0.0006832,0.0006832,0.0006832
34,9424.53,0.74111,0.36149,1.18541,0.98365,0.9924,0.99313,0.7846,0.89515,0.31725,1.27671,0.0006733,0.0006733,0.0006733
35,9693.42,0.73926,0.3606,1.18255,0.98361,0.99243,0.99313,0.7836,0.89428,0.31624,1.2761,0.0006634,0.0006634,0.0006634
36,9963.12,0.7376,0.35963,1.18371,0.98356,0.99208,0.99298,0.78558,0.89368,0.31499,1.27549,0.0006535,0.0006535,0.0006535
37,10232.7,0.73604,0.35813,1.18252,0.984,0.99202,0.99314,0.78656,0.89287,0.31402,1.27465,0.0006436,0.0006436,0.0006436
38,10500.4,0.73336,0.35863,1.18032,0.98361,0.99154,0.99306,0.78727,0.89174,0.31375,1.27374,0.0006337,0.0006337,0.0006337
39,10766.3,0.73471,0.35629,1.18105,0.98353,0.99137,0.99309,0.78695,0.89081,0.31302,1.273,0.0006238,0.0006238,0.0006238
40,11032.5,0.73033,0.35436,1.17981,0.98383,0.99088,0.99295,0.78697,0.88999,0.31323,1.27254,0.0006139,0.0006139,0.0006139
41,11298.7,0.73006,0.35365,1.17727,0.98333,0.991,0.99314,0.78713,0.88968,0.31313,1.27224,0.000604,0.000604,0.000604
42,11564.6,0.72498,0.34977,1.17545,0.98312,0.99109,0.99321,0.78781,0.88894,0.31333,1.27143,0.0005941,0.0005941,0.0005941
43,11830.4,0.72727,0.35165,1.17526,0.98349,0.99146,0.9933,0.78731,0.88852,0.31378,1.27093,0.0005842,0.0005842,0.0005842
44,12096.4,0.7275,0.35095,1.17617,0.98351,0.99141,0.99329,0.78753,0.88833,0.31411,1.27073,0.0005743,0.0005743,0.0005743
45,12362.5,0.72266,0.34772,1.17449,0.98325,0.99148,0.99347,0.78789,0.888,0.31394,1.27042,0.0005644,0.0005644,0.0005644
46,12628.8,0.72172,0.3461,1.17286,0.9835,0.99144,0.99346,0.78776,0.88772,0.31407,1.2699,0.0005545,0.0005545,0.0005545
47,12894.3,0.72078,0.34589,1.17223,0.98387,0.99069,0.99348,0.78827,0.88727,0.31373,1.2693,0.0005446,0.0005446,0.0005446
48,13160.9,0.71738,0.3438,1.16955,0.98362,0.99072,0.99347,0.78911,0.88656,0.31282,1.26856,0.0005347,0.0005347,0.0005347
49,13429.7,0.71794,0.34277,1.17084,0.98417,0.98953,0.99345,0.78905,0.8862,0.31264,1.26797,0.0005248,0.0005248,0.0005248
50,13698.6,0.71695,0.34282,1.16838,0.9843,0.98933,0.99345,0.78876,0.88576,0.31238,1.26727,0.0005149,0.0005149,0.0005149
51,13967.6,0.71692,0.34188,1.16999,0.98432,0.98933,0.99349,0.78824,0.88511,0.3119,1.26636,0.000505,0.000505,0.000505
52,14234.2,0.71573,0.34072,1.16923,0.98464,0.98929,0.99326,0.78904,0.88493,0.31259,1.26582,0.0004951,0.0004951,0.0004951
53,14500.6,0.71245,0.33883,1.166,0.98469,0.98949,0.99326,0.78845,0.88452,0.31219,1.26523,0.0004852,0.0004852,0.0004852
54,14766.7,0.71251,0.33808,1.16704,0.98476,0.98992,0.99352,0.78936,0.8835,0.31153,1.26429,0.0004753,0.0004753,0.0004753
55,15032.5,0.71217,0.33694,1.16671,0.9846,0.98993,0.99356,0.78938,0.88307,0.31187,1.26415,0.0004654,0.0004654,0.0004654
56,15298.5,0.71289,0.33716,1.16703,0.98466,0.98989,0.99357,0.78969,0.88269,0.31145,1.26397,0.0004555,0.0004555,0.0004555
57,15564.5,0.70846,0.33576,1.16497,0.98485,0.98987,0.99352,0.78957,0.88285,0.31129,1.26384,0.0004456,0.0004456,0.0004456
58,15830.2,0.70521,0.33368,1.16269,0.98484,0.98989,0.99352,0.78992,0.88271,0.31072,1.26375,0.0004357,0.0004357,0.0004357
59,276.238,0.70434,0.33186,1.16441,0.98558,0.98932,0.99357,0.7895,0.88232,0.31067,1.26361,0.0004258,0.0004258,0.0004258
60,546.905,0.70872,0.33392,1.16514,0.98554,0.98901,0.99353,0.78938,0.88262,0.31024,1.26391,0.0004159,0.0004159,0.0004159
61,816.447,0.7082,0.33349,1.16519,0.98598,0.98903,0.9935,0.78914,0.88296,0.31054,1.26421,0.000406,0.000406,0.000406
62,1085.54,0.70676,0.33325,1.16392,0.98567,0.98918,0.9935,0.7893,0.88275,0.31049,1.26423,0.0003961,0.0003961,0.0003961
63,1354.61,0.70355,0.33205,1.16257,0.98564,0.98917,0.99347,0.78902,0.88322,0.31075,1.26454,0.0003862,0.0003862,0.0003862
64,1623.41,0.70439,0.33187,1.16202,0.98514,0.98923,0.99332,0.78893,0.88342,0.31055,1.26451,0.0003763,0.0003763,0.0003763
65,1892.95,0.70392,0.33234,1.16211,0.98536,0.98919,0.99333,0.78922,0.88387,0.31021,1.26453,0.0003664,0.0003664,0.0003664
66,2159.78,0.70144,0.33071,1.16117,0.9855,0.98924,0.99335,0.78812,0.88412,0.31013,1.26468,0.0003565,0.0003565,0.0003565
67,2425.83,0.69881,0.33,1.15855,0.98512,0.98929,0.99335,0.78817,0.88404,0.3096,1.26458,0.0003466,0.0003466,0.0003466
68,2692.44,0.6991,0.32904,1.15845,0.98489,0.98973,0.99333,0.78862,0.88405,0.30946,1.2646,0.0003367,0.0003367,0.0003367
69,2958.94,0.69798,0.32779,1.15904,0.98497,0.98973,0.99332,0.78849,0.88423,0.30952,1.2646,0.0003268,0.0003268,0.0003268
70,3225.3,0.69747,0.32651,1.15795,0.98478,0.9901,0.9933,0.78903,0.88415,0.30957,1.26436,0.0003169,0.0003169,0.0003169
71,3494.33,0.69436,0.32414,1.15595,0.9849,0.99014,0.99334,0.78909,0.88424,0.30933,1.26439,0.000307,0.000307,0.000307
72,3763.35,0.69357,0.32417,1.15696,0.98515,0.99002,0.99336,0.78924,0.88436,0.30916,1.2644,0.0002971,0.0002971,0.0002971
73,4032.38,0.69166,0.32392,1.15514,0.98513,0.99003,0.99334,0.78892,0.8842,0.30906,1.26439,0.0002872,0.0002872,0.0002872
74,4301.46,0.69208,0.323,1.15522,0.98531,0.98972,0.99336,0.7885,0.88414,0.30905,1.26431,0.0002773,0.0002773,0.0002773
75,4570.3,0.68832,0.32218,1.1534,0.98461,0.99066,0.99337,0.78896,0.88429,0.30905,1.2645,0.0002674,0.0002674,0.0002674
76,4838.3,0.69279,0.3225,1.1539,0.98457,0.99071,0.99351,0.78877,0.88436,0.30916,1.26475,0.0002575,0.0002575,0.0002575
77,5105.13,0.68624,0.31911,1.15152,0.98448,0.99055,0.99359,0.78847,0.88422,0.30909,1.26485,0.0002476,0.0002476,0.0002476
78,5374.33,0.68604,0.31944,1.15227,0.98527,0.9895,0.99352,0.78895,0.88373,0.3093,1.26473,0.0002377,0.0002377,0.0002377
79,5643.32,0.68776,0.32008,1.15144,0.98527,0.98884,0.99339,0.78902,0.88363,0.30919,1.26482,0.0002278,0.0002278,0.0002278
